family_id,wave,axis,config_path,run_name,run_dir,freeze_mode,batch_size,accumulation_steps,num_epochs,patience,notes,parent_config,tokenizer_family,backbone_attention_family,solver_family,semantic_supervision_family,virtual_length_multiplier,warmstart_config,reconstruction_pretrain_config,local_fast_root,local_review_root,switch_smoke_status,switch_smoke_artifact,switch_smoke_row_count,best_ckpt,best_transfer_lpips_ckpt,best_allpairs_clip_style_ckpt,latest_ckpt,fast_converged,convergence_reason,decision_status,remote_live_memory_used_mib,remote_live_memory_total_mib,remote_live_util_pct,remote_live_band_status,remote_live_formal_status,remote_live_epoch,remote_live_epoch_total,remote_live_step,remote_live_step_total,remote_live_loss,remote_live_tswd
tok_a_dino_dict,wave1_tokenizer,tokenizer,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_tok_a_dino_dict_seed42_b8a2.json,aaai2027_round1_tok_a_dino_dict_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_tok_a_dino_dict_seed42_b8a2,style_branch,7,2,24,4,Universal keys plus style-specific values with DINO-masked SWD.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,tok_a_dino_dict,legacy_semantic_crossattn,euler_legacy,dino_masked_swd,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\warmstart\aaai2027_round1_tok_a_dino_dict_warmstart_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\pretrain\aaai2027_round1_tok_a_dino_dict_reconpretrain_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_a_dino_dict_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_a_dino_dict_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_a_dino_dict_switch_smoke_latest.json,1,,,,,,,recalibration_needed,,,,,,,,,,,
tok_b_cross_image,wave1_tokenizer,tokenizer,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_tok_b_cross_image_seed42_b8a2.json,aaai2027_round1_tok_b_cross_image_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_tok_b_cross_image_seed42_b8a2,style_branch,10,2,24,4,Cross-image routing over style-bank DINO tokens through the closed-set style_id wrapper.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,tok_b_cross_image,legacy_semantic_crossattn,euler_legacy,dino_masked_swd,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\warmstart\aaai2027_round1_tok_b_cross_image_warmstart_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\pretrain\aaai2027_round1_tok_b_cross_image_reconpretrain_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_b_cross_image_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_b_cross_image_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_b_cross_image_switch_smoke_latest.json,1,,,,,,,recalibration_needed,,,,,,,,,,,
tok_c_residual_adapter,wave1_tokenizer,tokenizer,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_tok_c_residual_adapter_seed42_b8a2.json,aaai2027_round1_tok_c_residual_adapter_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_tok_c_residual_adapter_seed42_b8a2,style_branch,9,2,24,4,Residual semantic adapter that preserves the global style code and routes high-frequency detail only.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,tok_c_residual_adapter,legacy_semantic_crossattn,euler_legacy,dino_masked_swd,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\warmstart\aaai2027_round1_tok_c_residual_adapter_warmstart_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\pretrain\aaai2027_round1_tok_c_residual_adapter_reconpretrain_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_c_residual_adapter_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_c_residual_adapter_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_c_residual_adapter_switch_smoke_latest.json,1,,,,,,,recalibration_needed,,,,,,,,,,,
tok_d_vlm_prompt,wave1_tokenizer,tokenizer,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_tok_d_vlm_prompt_seed42_b8a2.json,aaai2027_round1_tok_d_vlm_prompt_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_tok_d_vlm_prompt_seed42_b8a2,style_branch,7,2,24,4,Prompt-token style priors routed into global and spatial conditioning.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,tok_d_vlm_prompt,legacy_semantic_crossattn,euler_legacy,dino_masked_swd,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\warmstart\aaai2027_round1_tok_d_vlm_prompt_warmstart_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\pretrain\aaai2027_round1_tok_d_vlm_prompt_reconpretrain_seed42_b8a2.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_d_vlm_prompt_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_d_vlm_prompt_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_tok_d_vlm_prompt_switch_smoke_latest.json,1,,,,,,,recalibration_needed,,,,,,,,,,,
attn_sa_mod,wave2_backbone,backbone,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_attn_sa_mod_seed42_b8a2.json,aaai2027_round1_attn_sa_mod_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_attn_sa_mod_seed42_b8a2,attention_only,13,2,24,4,Spatially modulated self-attention with content topology preserved in self affinity.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,attn_sa_mod,euler_legacy,legacy_terminal_swd,1.0,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_switch_smoke_latest.json,1,epoch_0001,epoch_0008,epoch_0003,epoch_0024,True,best_in_newest_2=False; since_last_pareto=12; tail_flat=True; patience=4,rejected,,,,,,,,,,,
attn_gw_ot,wave2_backbone,backbone,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_attn_gw_ot_seed42_b8a2.json,aaai2027_round1_attn_gw_ot_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_attn_gw_ot_seed42_b8a2,attention_only,12,2,24,4,GW/OT-inspired routing with spatial cost regularization and sinkhorn normalization.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,attn_gw_ot,euler_legacy,legacy_terminal_swd,1.0,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_switch_smoke_latest.json,1,,,,,,,recalibration_needed,,,,,,,,,,,
attn_gated_spade,wave2_backbone,backbone,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_attn_gated_spade_seed42_b8a2.json,aaai2027_round1_attn_gated_spade_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_attn_gated_spade_seed42_b8a2,attention_only,20,2,24,4,Locally gated SPADE-like injection balancing structure and style fields.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,attn_gated_spade,euler_legacy,legacy_terminal_swd,1.0,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_switch_smoke_latest.json,1,epoch_0001,epoch_0022,epoch_0011,epoch_0030,True,best_in_newest_2=False; since_last_pareto=4; tail_flat=True; patience=4,reviewing,,,,,,,,,,,
attn_pnp_selfinject,wave2_backbone,backbone,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_attn_pnp_selfinject_seed42_b8a2.json,aaai2027_round1_attn_pnp_selfinject_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_attn_pnp_selfinject_seed42_b8a2,attention_only,21,2,24,4,PnP-style self-attention injection using content affinity with style values.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,attn_pnp_selfinject,euler_legacy,legacy_terminal_swd,1.0,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_switch_smoke_latest.json,1,epoch_0001,epoch_0004,epoch_0001,epoch_0011,True,best_in_newest_2=False; since_last_pareto=4; tail_flat=True; patience=4,reviewing,,,,,,,,,,,
solver_tangent_rk,wave2_solver,solver,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_solver_tangent_rk_seed42_b8a2.json,aaai2027_round1_solver_tangent_rk_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2,executor_only,17,2,24,6,Tangent-projected RK transport solver.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,legacy_semantic_crossattn,solver_tangent_rk,legacy_terminal_swd,1.0,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_tangent_rk_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_tangent_rk_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_tangent_rk_switch_smoke_latest.json,1,epoch_0001,epoch_0019,epoch_0007,epoch_0032,True,best_in_newest_2=False; since_last_pareto=13; tail_flat=True; patience=6,reviewing,9890,12288,88,in_band,formal_in_band,32,32,899,1111,7.7523,2.7031
solver_pc,wave2_solver,solver,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\round1_full_sweep\aaai2027_round1_solver_pc_seed42_b8a2.json,aaai2027_round1_solver_pc_seed42_b8a2,./exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2,executor_only,16,2,48,6,Predictor-corrector solver with structure-aware correction.,SchrodingerBridge/configs/aaai2027/inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2.json,legacy_factorized,legacy_semantic_crossattn,solver_pc,legacy_terminal_swd,0.5,,,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_pc_fast_local,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_pc_localreview,ok,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_solver_pc_switch_smoke_latest.json,1,epoch_0001,epoch_0009,epoch_0001,epoch_0036,False,manual_close_after_bounded_continuation; since_last_pareto=19; tail_flat=False; no_new_pareto_through_epoch_0036,reviewing,10344,12288,98,in_band,formal_in_band,36,36,509,590,7.7953,4.3438
