method,dataset_or_setting,resolution,train_time_value,train_time_unit,infer_time_value,infer_time_unit,params_m,source_path,note
LANCET/LBM F e1,Distinct5-512,512,1.2161,min,90.8249,s,3.91,SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote/full_eval/epoch_0001/summary.json,Manuscript compact LPIPS anchor. Infer field is eval wall_total, not pure generation.
LANCET/LBM H e1,Distinct5-512,512,1.2207,min,97.5991,s,3.91,SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0001/summary.json,Closed metrics but no retained targetwise ArtFID packet.
LANCET/LBM H e2,Distinct5-512,512,2.2656,min,95.9876,s,3.91,SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0002/summary.json,Closed metrics but no retained targetwise ArtFID packet.
LANCET/LBM K e1,Distinct5-512,512,1.2077,min,101.0315,s,3.91,SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0001/summary.json,Current compact style anchor. Infer field is eval wall_total, not pure generation.
LANCET/LBM K-longer e4,Distinct5-512,512,4.4690,min,101.2283,s,3.91,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0004/summary.json,Remote partial eval; worse than compact K e1 on transfer CLIP-S and LPIPS.
LANCET/LBM K-longer e8,Distinct5-512,512,8.7826,min,105.1828,s,3.91,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0008/summary.json,Remote e5-e8 exists, but aggregate_targetwise_artfid.json is missing; infer field is eval wall_total.
LANCET/LBM F-longer e8,Distinct5-512,512,9.1058,min,136.3843,s,3.91,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8/full_eval/epoch_0008/summary.json,Remote longer F does not beat compact F; infer field is eval wall_total.
SaMST e5,Distinct5-512,512,115.9750,min,323.071,s,,Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603/eval_bundle/eval_epoch5/generate.log; SchrodingerBridge/docs/experiments/distinct5_512_20260602/baseline_packet_status_20260604/packet_status.json,Closed Distinct5 baseline row. Infer is packet-bound generation wall for 750 images.
SaMST e15,Distinct5-512,512,347.2567,min,,,Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b2_e15_20260602/eval_epoch15/epoch_0015/summary.json,Closed metrics and train wall; same-run-root inference timing missing.
SaMAM step 2250,Distinct5-512,512,458.5503,min,,,I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250,Manuscript-valid SaMAM anchor. Same-scope pure inference timing missing.
SaMAM step 3000,Distinct5-512,512,612.5845,min,4.8218,min,,I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_003000_artfid_reuse/summary.json,Audit-only closed packet, not active manuscript path. Infer field is eval wall from packet status.
SaMAM local stepalign16 calibration,Distinct5-512,512,129.58,s,,,32.7,Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139/train.log,Manual cleanup deleted its 3 non-mainline ckpts and retained logs/gpu_samples/eval.
SaMAM local stepalign17 calibration,Distinct5-512,512,143.70,s,,,32.7,Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822/train.log,Manual cleanup deleted its 3 non-mainline ckpts and retained logs/gpu_samples.
AdaIN v32k,legacy256_overfit50 or strict-750,256,9220.393,s,9.281,s,,Related_Works/results/metrics_summary/timing_summary.csv,Full train plus strict 750 inference timing available.
AdaIN vgg19,legacy256_overfit50 or strict-750,256,262.78,s,9.098,s,,Related_Works/results/metrics_summary/timing_summary.csv,Full train plus strict 750 inference timing available.
AdaIN 4g bg,legacy256_overfit50 or strict-750,256,6.045,s,,,,Related_Works/results/metrics_summary/timing_summary.csv,Short 100-iter timing row; do not treat as formal full training.
AdaIN 4g real,legacy256_overfit50 or strict-750,256,,,"5.736",s,,Related_Works/results/metrics_summary/timing_summary.csv,Inference succeeded for 750 images but visual output is invalid; timing only.
SaMST strict 750,legacy256_overfit50 or strict-750,256,,,39.826,s,,Related_Works/results/metrics_summary/timing_summary.csv,Only strict full-750 inference time is recorded here; training time not preserved in summary.json.
SaMST timing probe,legacy256_overfit50 or strict-750,256,67.687,s,,,,Related_Works/results/metrics_summary/timing_summary.csv,One-epoch or probe timing only, not full formal training.
StyleID strict 750,legacy256_overfit50 or strict-750,256,,,603.316,s,,Related_Works/results/metrics_summary/timing_summary.csv,Unfair inference timing because only photo was generated and other targets were reused/copied.
CAST smoke2,legacy256_overfit50 or strict-750,256,26.654,s,3.759,s,,Related_Works/results/metrics_summary/timing_summary.csv,Smoke training succeeded but inference failed with 0 images. Not formal.
StyTr2 smoke6,legacy256_overfit50 or strict-750,256,59.25,s,35.81,s,,Related_Works/results/metrics_summary/timing_summary.csv,One-iter smoke run with 5-image inference only.
LANCET/LBM historical strict-750,legacy256_overfit50,256,309.902,s,85.414,s,,SchrodingerBridge/docs/experiments/2026-06-05-timing-sidecar-inventory.md,Historical timing row explicitly described as fully evidence-closed in timing sidecar inventory.
LANCET/LBM WikiArt512 epoch8 eval,WikiArt512-5style,512,,,210.67,s,,SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/full_eval_epoch_0008_b2_opt_nocls; SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md,External wall 210.67s and internal wall 206.7923s for 750-sample full eval; not pure generation.
Cycle-NCE weight_exp4 epoch example,legacy 5-style,256,90.5,s_epoch,,,,Cycle-NCE/weight_exp4_latent_adain_swd60_tv00_id40_r16_e60/logs/training_20260322_044742.csv,Representative epoch_time_sec after warmup is about 90s; family-level historical timing, not a single paper-facing result.
final_works trial_0044 epoch example,legacy256_overfit50,256,83.1,s_epoch,,,,final_works/trial_0044/logs/training_20260325_151521.csv,Representative warm epoch_time_sec around 83s; partial training timing only.
"LANCET/LBM orthogonal g0_universe_center","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3562.601,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g0_universe_center/logs/training_20260509_030841.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g1_absolute_release","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3560.009,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g1_absolute_release/logs/training_20260509_040819.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g2_absolute_freeze","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3572.826,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g2_absolute_freeze/logs/training_20260509_050754.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
